t,action,price,mia,vix,dist,zone_min,zone_max,stop,target,reason,pattern,confidence
45918.443405,long,6709.75,0.7807116336633662,16.469999,1.0,6709.5,6709.5,2.0,3.0,,Weak,0.45
45918.446882,short,6709.25,0.7851556324110671,16.469999,1.0,6709.5,6709.5,2.0,3.0,,Weak,0.45
45918.520487,long,6712.25,-0.1760537190082644,14.84,1.0,6712.0,6712.0,2.0,3.0,,None,0.273
45918.525351,short,6711.75,-0.1499327956989247,14.85,1.0,6712.0,6712.0,2.0,3.0,,Weak,0.462
45918.565625,long,6712.25,-0.16984374999999996,14.87,1.0,6712.0,6712.0,2.0,3.0,,None,0.273
45918.585764,short,6709.25,-0.1828260869565218,14.86,1.0,6709.5,6709.5,2.0,3.0,,None,0.284
45918.598265,long,6709.75,0.7712964037122969,14.83,1.0,6709.5,6709.5,2.0,3.0,,None,0.284
45918.619792,long,6699.0,-0.17016300675675677,14.94,0.0,6698.5,6700.0,9.0,15.0,,None,0.245
45918.635417,long,6690.25,0.5255895815170006,15.08,1.0,6690.0,6690.0,2.0,3.0,,None,0.44
